id	split	category	text
tr_0001	train	neutral	The careful engineer checks the safety checklist beside the quiet station before sunrise.
tr_0002	train	neutral	Before the final bell rings, a curious student records the laboratory measurement outside the central library.
tr_0003	train	neutral	Inside the main office, the neighborhood baker quietly places a basket of fresh bread as the evening traffic begins.
tr_0004	train	neutral	An experienced pilot reviews the weather report; the work continues along the garden path before the next visitor arrives.
tr_0005	train	neutral	The patient librarian organizes a collection of old photographs near the eastern entrance without making unnecessary noise.
tr_0006	train	neutral	After the lunch break, a friendly mechanic repairs a portable radio in the second-floor studio.
tr_0007	train	neutral	Across the narrow bridge, the morning reporter quietly records the afternoon announcement when the weather becomes clear.
tr_0008	train	neutral	A talented musician reviews the printed sheet music; the work continues next to the green warehouse with calm and steady attention.
tr_0009	train	neutral	The project manager updates the final schedule under the reading lamp on a cool autumn morning.
tr_0010	train	neutral	While the room is still empty, an observant traveler follows a detailed map by the old stone fountain.
tr_0011	train	neutral	Behind the community hall, the local gardener quietly carries a tray of young plants during the weekly inspection.
tr_0012	train	neutral	A confident teacher explains a set of clear instructions; the work continues within the testing room before sunrise.
tr_0013	train	neutral	The medical researcher labels the laboratory sample at the riverside market before the final bell rings.
tr_0014	train	neutral	As the evening traffic begins, a thoughtful designer measures a small wooden model beside the quiet station.
tr_0015	train	neutral	Outside the central library, the museum guide quietly reviews the visitor request before the next visitor arrives.
tr_0016	train	neutral	A reliable courier delivers the blue package; the work continues inside the main office without making unnecessary noise.
tr_0017	train	neutral	The workshop technician compares two polished silver tools along the garden path after the lunch break.
tr_0018	train	neutral	When the weather becomes clear, a careful archivist opens the revised document near the eastern entrance.
tr_0019	train	neutral	In the second-floor studio, the event volunteer quietly moves a fragile glass container with calm and steady attention.
tr_0020	train	neutral	A safety inspector checks the delivery receipt; the work continues across the narrow bridge on a cool autumn morning.
tr_0021	train	neutral	The restaurant chef selects a basket of fresh fruit next to the green warehouse while the room is still empty.
tr_0022	train	neutral	During the weekly inspection, a skilled carpenter measures the narrow wooden panel under the reading lamp.
tr_0023	train	neutral	By the old stone fountain, the clinic nurse quietly records the latest patient notes before sunrise.
tr_0024	train	neutral	A local shopkeeper updates the weekly inventory; the work continues behind the community hall before the final bell rings.
tr_0025	train	neutral	The studio photographer carries the camera equipment within the testing room as the evening traffic begins.
tr_0026	train	neutral	Before the next visitor arrives, the careful engineer checks the safety checklist at the riverside market.
tr_0027	train	neutral	Beside the quiet station, a curious student quietly records the laboratory measurement without making unnecessary noise.
tr_0028	train	neutral	The neighborhood baker places a basket of fresh bread; the work continues outside the central library after the lunch break.
tr_0029	train	neutral	An experienced pilot reviews the weather report inside the main office when the weather becomes clear.
